Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Treatment	Timepoint	Culture	NPratio	REP	GROUP	NOTE
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 14:10	3.32	2.99	0	0	0.1	6.31	100	-0.35	24.56	MIX1_5	T1	LE19-195	5	R1	CONTROL	NEW
11/21/25 14:10	2.88	3.04	0	0	0.19	5.92	100	-0.35	24.56	MIX1_5	T1	LE19-195	5	R1	CONTROL	NEW
11/21/25 14:10	2.95	3.07	0	0	0.19	6.02	100	-0.35	24.57	MIX1_5	T1	LE19-195	5	R1	CONTROL	NEW
11/21/25 14:10	3.22	2.99	0	0	0.13	6.21	100	-0.35	24.57	MIX1_5	T1	LE19-195	5	R1	CONTROL	NEW
11/21/25 14:10	3.25	3	0	0	0.12	6.26	100	-0.35	24.59	MIX1_5	T1	LE19-195	5	R1	CONTROL	NEW
11/21/25 14:10	3.1	3	0	0	0.15	6.1	100	-0.34	24.58	MIX1_5	T1	LE19-195	5	R1	CONTROL	NEW
11/21/25 14:10	3.17	3	0	0	0.14	6.17	100	-0.34	24.57	MIX1_5	T1	LE19-195	5	R1	CONTROL	NEW
11/21/25 14:10	3.25	2.98	0	0	0.11	6.23	100	-0.34	24.59	MIX1_5	T1	LE19-195	5	R1	CONTROL	NEW
11/21/25 14:10	3.27	2.99	0	0	0.12	6.26	100	-0.34	24.61	MIX1_5	T1	LE19-195	5	R1	CONTROL	NEW
Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample							NEW
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C							NEW
11/21/25 14:11	2.85	0	0	0	0	2.85	100	-0.32	24.62	CHLAMY_5	T1	CHLAMY	5	R1	CONTROL	NEW
